file,label,entropy,brightness_mean,brightness_std,skewness_brightness,kurtosis_brightness,laplacian_variance,gradient_mean,gradient_variance,edge_density,hf_energy_ratio,spectral_slope,spectral_flatness,fft_phase_entropy,freq_lf,freq_mf,freq_hf,dct_energy_ratio,jpeg_artifact_score,stripe_score,lbp_entropy,glcm_contrast,glcm_homogeneity,glcm_energy,noise_entropy,residual_std,noise_variance_patch_std,saturation_mean,hue_entropy,rgb_channel_corr,colorfulness,gray_world_error,compression_ratio,metadata_flag,exif_present,orig_width,orig_height,orig_aspect,file_size_kb,file_bpp
dataset\real_512\000000000785.png,0,6.330194,0.73549,0.257003,-1.793811,1.553922,899.871362,47.607606,11056.047253,0.036827,0.004769,3.599987,0.000677,7.993744,0.989766,0.007758,0.002477,0.000104,0.994159,0.027386,6.522704,0.930009,0.895211,0.239277,4.06587,0.034485,0.001789,0.092789,4.596842,0.945432,32.457259,0.038368,0.644466,1.0,0.0,512.0,512.0,1.0,360.902344,1.409775
dataset\real_512\000000000632.png,0,7.323635,0.272439,0.178788,1.13767,2.19306,3270.563868,94.92597,12192.817086,0.154655,0.058014,2.431385,0.019803,7.993588,0.907761,0.052467,0.039772,0.006437,0.992121,0.007116,6.760934,0.926608,0.801804,0.06229,5.566218,0.057507,0.004338,0.380757,6.489578,0.768219,43.557114,0.057538,0.859684,1.0,0.0,512.0,512.0,1.0,525.144531,2.051346
dataset\real_512\000000000285.png,0,7.891303,0.497873,0.302533,0.102141,-1.282433,3644.303472,102.538536,8361.71214,0.225815,0.017145,2.459114,0.007324,7.993734,0.97362,0.014101,0.01228,0.001555,1.000467,0.035104,6.969363,0.944102,0.738932,0.028277,6.060126,0.05709,0.002134,0.510931,5.232225,0.952119,48.021819,0.202852,0.928043,1.0,0.0,512.0,512.0,1.0,585.165039,2.285801
dataset\real_512\000000000139.png,0,7.259299,0.468914,0.182245,-0.564033,-0.798172,447.217166,42.732655,5011.1391,0.059223,0.006037,3.637528,0.000776,7.993607,0.987083,0.009406,0.003511,0.000118,1.047286,0.018469,6.334199,0.439553,0.892157,0.084764,4.428532,0.025416,0.00091,0.474851,5.708193,0.750857,60.983942,0.269408,0.6716,1.0,0.0,512.0,512.0,1.0,354.27832,1.3839
dataset\real_512\000000000776.png,0,7.274259,0.316043,0.15256,0.342598,-0.113271,2159.198803,92.524593,6537.268791,0.192554,0.036978,2.744495,0.009496,7.993675,0.948566,0.025577,0.025857,0.001683,1.001382,0.008685,6.917589,0.705147,0.768003,0.052208,5.781649,0.04811,0.001646,0.654278,4.257752,0.683724,63.145505,0.278704,0.882748,1.0,0.0,512.0,512.0,1.0,559.097656,2.183975
dataset\real_512\000000000724.png,0,7.359424,0.36552,0.227843,1.270432,0.74545,867.991961,74.897706,13299.633193,0.105976,0.022284,4.11469,0.001487,7.99296,0.949444,0.040328,0.010227,0.000353,1.022672,0.016113,6.525163,1.105162,0.839168,0.074076,4.910376,0.03774,0.001592,0.239156,6.115173,0.938997,32.246162,0.044701,0.758606,1.0,0.0,512.0,512.0,1.0,432.985352,1.691349
dataset\real_512\000000000872.png,0,7.703337,0.4762,0.288388,-0.025185,-1.425557,3707.703472,96.930544,11332.047806,0.166634,0.020364,2.531035,0.008289,7.993763,0.965823,0.019757,0.014421,0.000282,1.007312,0.052805,6.904233,1.004412,0.773956,0.04988,5.523829,0.058595,0.003323,0.308313,6.357957,0.945083,40.220796,0.132322,0.84634,1.0,0.0,512.0,512.0,1.0,544.735352,2.127872
dataset\real_512\000000000885.png,0,6.344346,0.327205,0.205667,0.43466,-1.179189,362.90005,36.81141,7047.308844,0.045677,0.011442,3.813965,0.001024,7.989667,0.970341,0.024853,0.004806,0.000497,0.989679,0.032277,6.05611,0.410738,0.92725,0.211914,3.741833,0.024141,0.000834,0.448036,4.554404,0.878971,38.291746,0.04885,0.511513,1.0,0.0,512.0,512.0,1.0,303.248047,1.184563
dataset\real_512\000000000802.png,0,7.335841,0.409699,0.187867,0.402371,-0.186162,404.202289,37.697226,4522.753726,0.049648,0.006656,3.370448,0.00055,7.993673,0.986522,0.009529,0.003949,2.9e-05,0.987058,0.025926,5.944286,0.418107,0.908706,0.094286,3.960019,0.024025,0.000837,0.306176,5.407737,0.942464,36.160164,0.08256,0.620419,1.0,0.0,512.0,512.0,1.0,287.927734,1.124718
dataset\real_512\000000001000.png,0,7.841147,0.438208,0.245659,0.369193,-0.784362,3661.006751,100.212401,14813.425484,0.167442,0.027348,2.608961,0.009987,7.993525,0.951233,0.030366,0.018401,0.002557,0.984924,0.019117,6.868443,1.313817,0.757797,0.032306,5.340118,0.059909,0.003638,0.426823,6.806474,0.729406,70.943806,0.072105,0.914066,1.0,0.0,512.0,512.0,1.0,556.05957,2.172108
